id,date,productId,openingStock,closingStock,soldQuantity,newStock,buyingPrice,sellingPrice,isLocked,editHash,createdAt,updatedAt
cm69cfsiv001flrp0w12fs8bb,2025-01-23 00:00:00,cm66h41k80014lrhgq9u68ucs,0,0,0,0,100.00,1500.00,f,,2025-01-23 13:03:11.846,2025-01-23 13:04:35.126
cm69cfsiv001hlrp05ng67g9t,2025-01-23 00:00:00,cm66h41k80015lrhg21779gfx,0,0,0,0,100.00,0.00,f,,2025-01-23 13:03:11.847,2025-01-23 13:04:35.126
cm69cfsiw001jlrp0bpndc6a1,2025-01-23 00:00:00,cm66h41k80016lrhg9vu6yoo3,0,0,0,0,100.00,800.00,f,,2025-01-23 13:03:11.848,2025-01-23 13:04:35.126
cm69cfsix001llrp0owefcipv,2025-01-23 00:00:00,cm66h41k80017lrhg306e61j1,0,0,0,0,100.00,800.00,f,,2025-01-23 13:03:11.848,2025-01-23 13:04:35.126
cm69cfsix001nlrp0z4bpusli,2025-01-23 00:00:00,cm66h41k80018lrhg33dv13wi,0,0,0,0,100.00,1000.00,f,,2025-01-23 13:03:11.849,2025-01-23 13:04:35.126
cm69cfsiy001plrp0kbwkhc2v,2025-01-23 00:00:00,cm66h41k80019lrhgjdq6uo7q,0,0,0,0,100.00,1000.00,f,,2025-01-23 13:03:11.851,2025-01-23 13:04:35.126
cm69cfsiy001rlrp0ltlm1wpx,2025-01-23 00:00:00,cm66h41k8001alrhgbhq90abo,0,0,0,0,100.00,600.00,f,,2025-01-23 13:03:11.851,2025-01-23 13:04:35.126
cm69cfsiz001tlrp0fvpm4zyc,2025-01-23 00:00:00,cm66h41k8001blrhg06srjgu8,0,0,0,0,100.00,3000.00,f,,2025-01-23 13:03:11.851,2025-01-23 13:04:35.126
cm69cfsj0001vlrp07yi7ncff,2025-01-23 00:00:00,cm66h41k8001clrhg0kg64rh7,0,0,0,0,100.00,1000.00,f,,2025-01-23 13:03:11.852,2025-01-23 13:04:35.126
cm69cfsj1001xlrp0bmzndkr7,2025-01-23 00:00:00,cm66h41k8001dlrhg33s2c310,0,0,0,0,100.00,1200.00,f,,2025-01-23 13:03:11.854,2025-01-23 13:04:35.126
cm69cfsj1001zlrp05sue36e7,2025-01-23 00:00:00,cm66h41k9001elrhgh2rcz7zw,0,0,0,0,100.00,1200.00,f,,2025-01-23 13:03:11.856,2025-01-23 13:04:35.126
cm69cfsj20021lrp0jag4fqpa,2025-01-23 00:00:00,cm66h41k9001flrhg8qnvsnd7,0,0,0,0,100.00,600.00,f,,2025-01-23 13:03:11.858,2025-01-23 13:04:35.126
cm69cfsj30023lrp054qinxfs,2025-01-23 00:00:00,cm66h41k9001glrhgrh75tluf,0,0,0,0,100.00,0.00,f,,2025-01-23 13:03:11.858,2025-01-23 13:04:35.126
cm69cfsj30025lrp0geb5gjks,2025-01-23 00:00:00,cm66h41k9001hlrhg9c87grek,0,0,0,0,100.00,1000.00,f,,2025-01-23 13:03:11.859,2025-01-23 13:04:35.126
cm69cfsjd0028lrp0799qdvup,2025-01-23 00:00:00,cm66h41k9001ilrhgh45k1twz,0,0,0,0,100.00,2000.00,f,,2025-01-23 13:03:11.859,2025-01-23 13:04:35.126
cm69cfsjh002flrp083z4w7q8,2025-01-23 00:00:00,cm66h41k9001jlrhgi5ekv6zs,0,0,0,0,100.00,2500.00,f,,2025-01-23 13:03:11.86,2025-01-23 13:04:35.126
cm69cfsjd0029lrp0qfybow14,2025-01-23 00:00:00,cm66h41k9001klrhg3e5uj8zf,0,0,0,0,100.00,2500.00,f,,2025-01-23 13:03:11.859,2025-01-23 13:04:35.126
cm69cfsjg002blrp0mtkiagqo,2025-01-23 00:00:00,cm66h41k9001llrhgjgmolrk1,0,0,0,0,100.00,600.00,f,,2025-01-23 13:03:11.86,2025-01-23 13:04:35.126
cm69cfsjg002dlrp0sth5ws0f,2025-01-23 00:00:00,cm66h41k9001mlrhgqzz24u8f,0,0,0,0,100.00,2000.00,f,,2025-01-23 13:03:11.86,2025-01-23 13:04:35.126
cm69cfsjh002hlrp07d17t2ea,2025-01-23 00:00:00,cm66h41k9001nlrhg63pudsta,0,0,0,0,100.00,1500.00,f,,2025-01-23 13:03:11.865,2025-01-23 13:04:35.126
cm69cfsjo002llrp0nr50scyp,2025-01-23 00:00:00,cm66h41k9001olrhg328fx5ue,0,0,0,0,100.00,600.00,f,,2025-01-23 13:03:11.866,2025-01-23 13:04:35.126
cm69cfsjo002mlrp0gj40fcr1,2025-01-23 00:00:00,cm66h41k9001plrhga0i3uyto,0,0,0,0,100.00,2500.00,f,,2025-01-23 13:03:11.867,2025-01-23 13:04:35.126
cm69cfsjo002nlrp0w4wytzi4,2025-01-23 00:00:00,cm66h41k9001qlrhg8y23wztf,0,0,0,0,100.00,1500.00,f,,2025-01-23 13:03:11.868,2025-01-23 13:04:35.126
